key,english,placeholders,where_it_appears,translation
c.loc.detecting,Detecting…,,Shopper: account; Shopper: cart; Shopper: khata,
c.loc.pincode,Pincode,,Shopper: account; Shopper: cart; Shopper: khata,
c.loc.save,Save,,Shopper: account; Shopper: cart; Shopper: khata,
c.loc.set,Set location,,Shopper: account; Shopper: cart; Shopper: khata,
c.loc.title,Choose your location,,Shopper: account; Shopper: cart; Shopper: khata,
c.loc.town,Town,,Shopper: account; Shopper: cart; Shopper: khata,
c.loc.village,Village,,Shopper: account; Shopper: cart; Shopper: khata,
c.noProductsFound,No products found. Try another word.,,Shopper: products,
c.prepayHelper,"{due} clears your due, extra becomes advance",{due},Shopper: khata,
c.prepayHelperNoDue,{amt} becomes an advance you can spend later,{amt},Shopper: khata,
c.prepayMaxHint,You can pre-pay up to {amt} in advance,{amt},Shopper: khata,
c.prepayTooMuch,You can pay at most {amt} right now.,{amt},Shopper: khata,
c.productsTitle,Products,,Shopper: products; Shopper: shops,
c.promo.sponsored,Sponsored,,Shopper: shop/[shopId]; Shopper: shops,
c.recentSearches,Recent searches,,Shopper: products,
c.searchProductsAll,Search products across shops,,Shopper: products; Shopper: shops,
c.searching,Searching…,,Shopper: products,
c.settledLabel,Settled — nothing due,,Shopper: khata,
c.shopByCategory,Shop by category,,Shopper: products,
c.theme.dark,Dark,,Shopper: account; Shopper: cart; Shopper: khata,
c.theme.light,Light,,Shopper: account; Shopper: cart; Shopper: khata,
c.theme.title,Theme,,Shopper: account; Shopper: cart; Shopper: khata,
c.voiceIn,Listens in {language},{language},Shopper: products,
c.youOwe,You owe {amt},{amt},Shopper: khata,
cat.savePhoto,Save photo,,Shopkeeper: catalog,
cat.uploadingPhoto,Uploading…,,Shopkeeper: catalog,
champ.address,Deliver to,,Shopkeeper: d/[token],
champ.call,Call,,Shopkeeper: d/[token],
champ.doneMsg,Delivered. Thank you!,,Shopkeeper: d/[token],
champ.greeting,Hi {name},{name},Shopkeeper: d/[token],
champ.items,Items,,Shopkeeper: d/[token],
champ.loadError,Could not load right now. Pull to refresh.,,Shopkeeper: d/[token],
champ.loading,Loading…,,Shopkeeper: d/[token],
champ.markDelivered,Mark delivered,,Shopkeeper: d/[token],
champ.markPickedUp,Mark picked up,,Shopkeeper: d/[token],
champ.none,No deliveries right now. Check back soon.,,Shopkeeper: d/[token],
champ.notFound,This link is not valid or has expired.,,Shopkeeper: d/[token],
champ.pickedBadge,Picked up,,Shopkeeper: d/[token],
champ.refresh,Refresh,,Shopkeeper: d/[token],
champ.subtitle,"Your assigned deliveries. Mark each one picked up, then delivered.",,Shopkeeper: d/[token],
champ.title,My Deliveries,,Shopkeeper: d/[token],
champ.total,Order total,,Shopkeeper: d/[token],
champ.updating,Updating…,,Shopkeeper: d/[token],
coedit.cash,Pay {now} when you collect — {amount} of items were taken off.,{now} {amount},Shopper: orders/[id],
coedit.credit,{amount} has been taken off your khata at this shop.,{amount},Shopper: orders/[id],
coedit.intro,{shop} could not supply everything you ordered.,{shop},Shopper: orders/[id],
coedit.nowTotal,Your order now comes to {now}.,{now},Shopper: orders/[id],
coedit.prepaid,You had already paid. {amount} is kept as credit at this shop — it comes off your next order here.,{amount},Shopper: orders/[id],
coedit.reduced,{item} — {before} → {after},{item} {before} {after},Shopper: orders/[id],
coedit.removed,{item} — removed,{item},Shopper: orders/[id],
coedit.title,The shop adjusted your order,,Shopper: orders/[id],
coedit.wasSubtotal,Original items total {was},{was},Shopper: orders/[id],
common.refresh,Refresh,,Shopkeeper: catalog; Shopkeeper: customers; Shopkeeper: customers/[id],
common.retry,Try again,,Shopkeeper: catalog; Shopkeeper: customers; Shopkeeper: customers/[id],
content.nav,Content,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
credits.balanceLabel,Your Khata Credits,,Shopkeeper: account,
credits.bySource,By source,,Shopkeeper: account,
credits.earnedTitle,Earned so far,,Shopkeeper: account,
credits.empty,No credits yet — refer a shop to start earning,,Shopkeeper: account,
credits.kind.other,Adjustment,,Shopkeeper: account,
credits.pending,{amt} pending,{amt},Shopkeeper: account,
credits.recentTitle,Recent activity,,Shopkeeper: account,
credits.spendNote,"Spend on your subscription, promos and more",,Shopkeeper: account,
credits.title,Khata Credits,,Shopkeeper: account,
csfaq.subtitle,"Answers your shops have shared — timings, delivery, returns and more.",,Shopper: account,
csfaq.title,Questions about your shops,,Shopper: account,
ctab.products,Products,,Shopper: account; Shopper: cart; Shopper: khata,
dem.addItem,Add item,,Shopkeeper: suppliers/demand,
dem.boardTitle,Demand board,,Shopkeeper: suppliers/demand,
dem.cancel,Cancel need,,Shopkeeper: suppliers/demand,
dem.cancelConfirm,Cancel this demand post?,,Shopkeeper: suppliers/demand,
dem.claim,Claim & make order,,Shopkeeper: distributor/demand,
dem.claimedBy,Claimed by {name},{name},Shopkeeper: suppliers/demand,
dem.claiming,Claiming…,,Shopkeeper: distributor/demand,
dem.distSubtitle,Upcoming needs from shops near you. Claim one to make an order.,,Shopkeeper: distributor/demand,
dem.myPosts,My posted needs,,Shopkeeper: suppliers/demand,
dem.nav,Demand board,,Shopkeeper: distributor/account; Shopkeeper: distributor/demand; Shopkeeper: distributor/index,
dem.nearYou,Needs near you,,Shopkeeper: distributor/demand,
dem.needItem,Add at least one item with a quantity.,,Shopkeeper: suppliers/demand,
dem.neededBy,Needed by,,Shopkeeper: suppliers/demand,
dem.neededByOn,Needed by {when},{when},Shopkeeper: distributor/demand; Shopkeeper: suppliers/demand,
dem.noDate,No date set,,Shopkeeper: distributor/demand; Shopkeeper: suppliers/demand,
dem.noOpen,No open needs near you right now.,,Shopkeeper: distributor/demand,
dem.noPosts,You haven’t posted any needs yet.,,Shopkeeper: suppliers/demand,
dem.optionalNote,Note (optional),,Shopkeeper: suppliers/demand,
dem.ownerSubtitle,Post what you need soon. Nearby farmers claim it and make the order.,,Shopkeeper: suppliers/demand,
dem.post,Post need,,Shopkeeper: suppliers/demand,
dem.postNeed,Post a need,,Shopkeeper: suppliers/demand,
dem.posted,Need posted.,,Shopkeeper: suppliers/demand,
dem.posting,Posting…,,Shopkeeper: suppliers/demand,
dem.viewOrder,View order,,Shopkeeper: suppliers/demand,
dist.accountSubtitle,How shops in your city find you.,,Shopkeeper: distributor/account,
dist.accountTitle,My profile,,Shopkeeper: distributor/account,
dist.activeOff,Hidden,,Shopkeeper: distributor/account,
dist.activeOn,Active,,Shopkeeper: distributor/account,
dist.activeToggle,Listed to shops,,Shopkeeper: distributor/account,
dist.areYou,Are you a distributor? ,,Shopkeeper: login,
dist.area,Area,,Shopkeeper: distributor/account; Shopkeeper: distributor/register,
dist.brand,Supplier,,Shopkeeper: distributor/account; Shopkeeper: distributor/demand; Shopkeeper: distributor/index,
dist.brands,Brands,,Shopkeeper: distributor/account; Shopkeeper: distributor/register,
dist.businessName,Business name,,Shopkeeper: distributor/account; Shopkeeper: distributor/register,
dist.cancel,Cancel order,,Shopkeeper: distributor/orders/[id],
dist.cancelConfirm,Cancel this order?,,Shopkeeper: distributor/orders/[id],
dist.categories,Categories,,Shopkeeper: distributor/account; Shopkeeper: distributor/register,
dist.city,City,,Shopkeeper: distributor/account; Shopkeeper: distributor/register,
dist.close,Close,,Shopkeeper: distributor/shops,
dist.confirm,Confirm order,,Shopkeeper: distributor/orders/[id],
dist.confirmed,Order confirmed.,,Shopkeeper: distributor/orders/[id],
dist.create,Create distributor account,,Shopkeeper: distributor/register,
dist.deliver,Mark delivered,,Shopkeeper: distributor/orders/[id],
dist.deliverHint,Marking delivered posts this order to the shop’s ledger.,,Shopkeeper: distributor/orders/[id],
dist.delivered,Order marked delivered.,,Shopkeeper: distributor/orders/[id],
dist.dispatch,Mark dispatched,,Shopkeeper: distributor/orders/[id],
dist.dispatched,Order marked dispatched.,,Shopkeeper: distributor/orders/[id],
dist.email,Email (optional),,Shopkeeper: distributor/register,
dist.empty,No purchase orders yet.,,Shopkeeper: distributor/index,
dist.farmerBadge,🌾 Farmer,,Shopkeeper: distributor/account,
dist.freshHint,"As a farmer, you sell Fresh Produce with no minimum order.",,Shopkeeper: distributor/register,
dist.freshProduce,Fresh Produce,,Shopkeeper: distributor/register,
dist.haveAccount,Already registered? ,,Shopkeeper: distributor/register,
dist.iAm,I am a…,,Shopkeeper: distributor/register,
dist.itemsN,{n} item{s},{n} {s},Shopkeeper: distributor/index,
dist.kindDistributor,Distributor,,Shopkeeper: distributor/account; Shopkeeper: distributor/register,
dist.kindFarmer,Farmer (Fresh Produce),,Shopkeeper: distributor/register,
dist.lineTotal,Total,,Shopkeeper: distributor/orders/[id],
dist.listHint,Comma-separated.,,Shopkeeper: distributor/account; Shopkeeper: distributor/register,
dist.minOrderRs,Minimum order (₹),,Shopkeeper: distributor/account,
dist.navAccount,Account,,Shopkeeper: distributor/account; Shopkeeper: distributor/demand; Shopkeeper: distributor/index,
dist.navHome,Orders,,Shopkeeper: distributor/account; Shopkeeper: distributor/demand; Shopkeeper: distributor/index,
dist.navShops,Shops,,Shopkeeper: distributor/account; Shopkeeper: distributor/demand; Shopkeeper: distributor/index,
dist.orderBack,Orders,,Shopkeeper: distributor/orders/[id],
dist.password,Password,,Shopkeeper: distributor/register,
dist.payAmountRs,Amount received (₹),,Shopkeeper: distributor/shops,
dist.payFrom,Payment from {name},{name},Shopkeeper: distributor/shops,
dist.payMethod,Method,,Shopkeeper: distributor/shops,
dist.payNote,Note (optional),,Shopkeeper: distributor/shops,
dist.paySave,Save payment,,Shopkeeper: distributor/shops,
dist.paySaved,Payment recorded.,,Shopkeeper: distributor/shops,
dist.phone,Phone,,Shopkeeper: distributor/register,
dist.placedOn,Placed {when},{when},Shopkeeper: distributor/index,
dist.priceFirst,Set a price on every item before confirming.,,Shopkeeper: distributor/orders/[id],
dist.pricesHint,Enter a unit price in ₹ for each item. The subtotal updates as you type.,,Shopkeeper: distributor/orders/[id],
dist.pricesSaved,Prices saved.,,Shopkeeper: distributor/orders/[id],
dist.recordPayment,Record payment,,Shopkeeper: distributor/shops,
dist.registerCta,Register,,Shopkeeper: login,
dist.registerSubtitle,List your business and start receiving orders from shops in your city.,,Shopkeeper: distributor/register,
dist.registerTitle,Register as a distributor,,Shopkeeper: distributor/register,
dist.savePrices,Save prices,,Shopkeeper: distributor/orders/[id],
dist.setPrices,Set your prices,,Shopkeeper: distributor/orders/[id],
dist.shop,Shop,,Shopkeeper: distributor/orders/[id],
dist.shopsEmpty,No shops trade with you yet.,,Shopkeeper: distributor/shops,
dist.shopsSubtitle,Shops that order from you and what each owes.,,Shopkeeper: distributor/shops,
dist.shopsTitle,Shops,,Shopkeeper: distributor/shops,
dist.subtitle,"Purchase orders from shops. Price the items, confirm, and fulfil.",,Shopkeeper: distributor/index,
dist.terminal,This order is {s} — no further changes.,{s},Shopkeeper: distributor/orders/[id],
dist.title,Incoming orders,,Shopkeeper: distributor/index,
dist.unitPriceRs,Unit price (₹),,Shopkeeper: distributor/orders/[id],
dist.village,Village,,Shopkeeper: distributor/account; Shopkeeper: distributor/register,
dist.whatsapp,WhatsApp number,,Shopkeeper: distributor/account; Shopkeeper: distributor/register,
dist.yourName,Your name,,Shopkeeper: distributor/register,
dlv.activate,Activate,,Shopkeeper: delivery,
dlv.active,Active,,Shopkeeper: delivery,
dlv.activeDeliveries,{n} active,{n},Shopkeeper: delivery,
dlv.add,Add champion,,Shopkeeper: delivery,
dlv.addTitle,Add a champion,,Shopkeeper: delivery,
dlv.adding,Adding…,,Shopkeeper: delivery,
dlv.area,Area (optional),,Shopkeeper: delivery,
dlv.areaPlaceholder,e.g. Sector 5 / 560001,,Shopkeeper: delivery,
dlv.assign,Assign,,Shopkeeper: delivery,
dlv.assigning,Assigning…,,Shopkeeper: delivery,
dlv.champion,Champion,,Shopkeeper: delivery,
dlv.champions,Champions,,Shopkeeper: delivery,
dlv.copied,Copied!,,Shopkeeper: delivery,
dlv.copyLink,Copy link,,Shopkeeper: delivery,
dlv.deactivate,Deactivate,,Shopkeeper: delivery,
dlv.deliveredCount,{n} delivered,{n},Shopkeeper: delivery,
dlv.feeLabel,Incentive ₹ (optional),,Shopkeeper: delivery,
dlv.inactive,Inactive,,Shopkeeper: delivery,
dlv.name,Name,,Shopkeeper: delivery,
dlv.namePlaceholder,e.g. Ravi,,Shopkeeper: delivery,
dlv.needChampion,Pick a champion first.,,Shopkeeper: delivery,
dlv.noChampions,No champions yet. Add your first delivery agent above.,,Shopkeeper: delivery,
dlv.noOrders,No home-delivery orders yet.,,Shopkeeper: delivery,
dlv.orders,Delivery orders,,Shopkeeper: delivery,
dlv.phone,Phone (optional),,Shopkeeper: delivery,
dlv.phonePlaceholder,e.g. 98xxxxxxxx,,Shopkeeper: delivery,
dlv.pickChampion,Pick a champion,,Shopkeeper: delivery,
dlv.subtitle,Register your delivery agents and assign home-delivery orders to them. Each champion gets a no-login link to mark orders picked up and delivered.,,Shopkeeper: delivery,
dlv.title,Delivery Champions,,Shopkeeper: delivery,
dlv.unassigned,Not assigned,,Shopkeeper: delivery,
err.accountStopped,This account has been stopped. Please contact support.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
err.badRequest,Something in that was not right. Please check and try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
err.conflict,That could not be done just now. Please try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
err.generic,Something went wrong. Please try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
err.notAllowed,You cannot open this.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
err.notFound,That is not available any more.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
err.offline,No internet right now. Check your connection and try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
err.server,Something went wrong at our end. Please try again in a moment.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
err.signInRejected,"That number, email or password is not right. Please check and try again.",,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
err.signedOut,You have been signed out. Please sign in again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
err.slow,The network is too slow to finish that. Please try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
err.suspended,This shop has been stopped by Smart Digital Khata. Please contact support.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
err.tooMany,Too many tries. Please wait a minute and try again.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
eta.accept,Accept,,Shopkeeper: orders,
eta.chipHour,~{n} hour,{n},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
eta.chipHourMin,~{h} hr {m} min,{h} {m},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
eta.chipMin,~{n} min,{n},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
eta.late,Past the time you promised,,Shopkeeper: orders; Shopkeeper: orders/[id],
eta.needMore,Need more time,,Shopkeeper: orders/[id],
eta.needMoreHelp,Pick a new time — the customer is told straight away.,,Shopkeeper: orders/[id],
eta.noPromise,No ready time promised,,Shopkeeper: orders/[id],
eta.noTime,Accept without a time,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
eta.notNow,Not now,,Shopkeeper: orders; Shopkeeper: orders/[id],
eta.pickTime,Ready in about…,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
eta.promisedBy,You promised ready by {time},{time},Shopkeeper: orders/[id],
eta.readyBy,Ready by {time},{time},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
eta.sent,The customer has been told the new time.,,Shopkeeper: orders/[id],
eta.takingLonger,Taking a little longer,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
eta.takingLongerHelp,It was expected by {time}. It should not be much longer.,{time},Shopper: orders/[id],
lang.betaSuffix, (beta),,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
mod.pendingAria,{n} items waiting for review,{n},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
nav.delivery,Delivery,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.accept,Accept,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.decide,This keeps alerting until you accept or reject it.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.enableSound,Turn on sound,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.items,{n} items,{n},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.more,+{n} more,{n},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.mute30,Mute 30 min,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.open,Open,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.setClamped,The platform limits how often alerts may repeat — your value was adjusted to the nearest allowed one.,,Shopkeeper: settings,
oalert.setEnabled,Alert me about new orders,,Shopkeeper: settings,
oalert.setHelp,A new order keeps alerting you — here and on WhatsApp — until you ACCEPT it or REJECT it. Not now only quiets one order for a few minutes; it never stops the alert.,,Shopkeeper: settings,
oalert.setMaxRepeats,Stop after (repeats),,Shopkeeper: settings,
oalert.setMuteNow,Mute for 30 minutes,,Shopkeeper: settings,
oalert.setMutedUntil,Muted until {when},{when},Shopkeeper: settings,
oalert.setRepeat,Repeat every (minutes),,Shopkeeper: settings,
oalert.setTitle,Order alerts,,Shopkeeper: settings,
oalert.settings,Alert settings,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.snooze,Not now — {mins} min,{mins},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.snoozedFor,Quiet for {mins} more min,{mins},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.spoken,New order. {name}. {n} items. {amount} rupees.,{name} {n} {amount},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.stillWaiting,Still waiting — you have not answered this one yet.,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.title,New order waiting,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.unmute,Unmute,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oalert.waiting,waiting {mins} min,{mins},Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers,
oedit.cancelInstead,You have taken off everything. Cancel the order instead.,,Shopkeeper: orders/[id],
oedit.confirm,Confirm the new order,,Shopkeeper: orders/[id],
oedit.feeMayChange,"If this takes the order under your free-delivery amount, the delivery fee is recalculated when you confirm.",,Shopkeeper: orders/[id],
oedit.help,"Take off what you do not have. You can only REMOVE items or LOWER quantities — nothing here can add an item, raise a quantity or change a price.",,Shopkeeper: orders/[id],
oedit.historyBy,"{who}, {when}",{who} {when},Shopkeeper: orders/[id],
oedit.historyReduced,{item} — {before} → {after},{item} {before} {after},Shopkeeper: orders/[id]; Shopper: orders/[id],
oedit.historyRemoved,{item} — removed,{item},Shopkeeper: orders/[id]; Shopper: orders/[id],
oedit.historyTitle,What was taken off,,Shopkeeper: orders/[id],
oedit.historyUnknownWho,the shop,,Shopkeeper: orders/[id],
oedit.keep,Leave it as it was,,Shopkeeper: orders/[id],
oedit.moneyCash,Collect {amount} less when you hand the order over.,{amount},Shopkeeper: orders/[id],
oedit.moneyCredit,{amount} will come off this customer's khata.,{amount},Shopkeeper: orders/[id],
oedit.moneyPrepaid,Already paid online — {amount} will be kept as credit at your shop for this customer.,{amount},Shopkeeper: orders/[id],
oedit.noChange,Nothing has been changed yet.,,Shopkeeper: orders/[id],
oedit.originalSubtotal,Original subtotal,,Shopkeeper: orders/[id],
oedit.reducedBy,You are taking off {amount}.,{amount},Shopkeeper: orders/[id],
oedit.remove,Remove,,Shopkeeper: orders/[id],
oedit.removedTag,Removed,,Shopkeeper: orders/[id],
oedit.restore,Put back,,Shopkeeper: orders/[id],
oedit.saved,The order has been reduced. The customer has been told what changed.,,Shopkeeper: orders/[id],
oedit.saving,Saving…,,Shopkeeper: orders/[id],
oedit.start,Not everything in stock?,,Shopkeeper: orders/[id],
oedit.startBtn,Reduce this order,,Shopkeeper: orders/[id],
oedit.thenAccept,Now accept it and tell the customer when it will be ready.,,Shopkeeper: orders/[id],
oedit.title,Reduce this order,,Shopkeeper: orders/[id],
oedit.was,Was {was},{was},Shopkeeper: orders/[id],
oedit.wasNow,Was {was} — now {now},{was} {now},Shopkeeper: orders/[id],
open.addClosure,Add date,,Shopkeeper: settings,
open.alwaysOpen,No daily hours set — open all day.,,Shopkeeper: settings,
open.bannerTitle,This shop is closed right now,,Shopper: cart; Shopper: shop/[shopId],
open.browseOnly,You can look around — ordering opens again when the shop does.,,Shopper: shop/[shopId],
open.cannotOrder,Closed — cannot order,,Shopper: cart; Shopper: shop/[shopId],
open.cartBlocked,"This shop is closed right now, so the order cannot be placed. Your cart is saved.",,Shopkeeper: dashboard; Shopper: cart; Shopper: products,
open.clearHours,Clear hours,,Shopkeeper: settings,
open.closeTime,Closes at,,Shopkeeper: settings,
open.closed,Closed,,Shopkeeper: dashboard; Shopper: cart; Shopper: products,
open.closedPill,Closed,,Shopkeeper: dashboard; Shopper: cart; Shopper: products,
open.closureDate,Date,,Shopkeeper: settings,
open.closureReason,Reason (optional),,Shopkeeper: settings,
open.closureReasonPlaceholder,Diwali,,Shopkeeper: settings,
open.closuresHelp,"Add the dates your shop will be shut — a festival, a wedding, anything. Customers see it before they order.",,Shopkeeper: settings,
open.closuresTitle,Holiday closures,,Shopkeeper: settings,
open.hoursHelp,"Set the daily opening and closing time, or leave both empty to stay open all day. A closing time earlier than the opening time means you stay open past midnight.",,Shopkeeper: settings,
open.hoursIncomplete,"Set both the opening and the closing time, or clear both.",,Shopkeeper: settings,
open.hoursTitle,Shop hours,,Shopkeeper: settings,
open.noClosures,No closures in the next 90 days.,,Shopkeeper: settings,
open.notTakingOrders,Customers cannot order right now.,,Shopkeeper: dashboard,
open.open,Open,,Shopkeeper: dashboard,
open.openTime,Opens at,,Shopkeeper: settings,
open.pause30,30 min,,Shopkeeper: dashboard,
open.pause60,1 hour,,Shopkeeper: dashboard,
open.pauseHelp,"Shutting for a bit? One tap, no time picker.",,Shopkeeper: dashboard,
open.pauseToday,Rest of today,,Shopkeeper: dashboard,
open.removeClosure,Remove,,Shopkeeper: settings,
open.resume,Resume now,,Shopkeeper: dashboard,
open.saveHours,Save hours,,Shopkeeper: settings,
open.stateClosed,Closed — you switched the shop off,,Shopkeeper: dashboard; Shopper: cart; Shopper: products,
open.stateHoliday,Closed today — reopens {when},{when},Shopkeeper: dashboard; Shopper: cart; Shopper: products,
open.stateHolidayReason,Closed today ({reason}) — reopens {when},{reason} {when},Shopkeeper: dashboard; Shopper: cart; Shopper: products,
open.stateHours,Closed — opens {when},{when},Shopkeeper: dashboard; Shopper: cart; Shopper: products,
open.statePaused,Paused — back {when},{when},Shopkeeper: dashboard; Shopper: cart; Shopper: products,
open.switchLabel,Shop is open,,Shopkeeper: dashboard,
open.takingOrders,You are taking orders right now.,,Shopkeeper: dashboard,
open.title,Shop availability,,Shopkeeper: dashboard,
open.todayAt,at {time},{time},Shopkeeper: dashboard; Shopper: cart; Shopper: products,
